,Team,Year,Pos.,Salary
0,ARI,2020,1B,1153000
1,ARI,2020,2B,5537300
2,ARI,2020,3B,7730166
3,ARI,2020,C,3645200
4,ARI,2020,CF,574400
5,ARI,2020,RF,14550000
6,ARI,2020,RP,9043700
7,ARI,2020,SP,12462700
8,ARI,2020,SS,6375000
9,ARI,2021,1B,619300
10,ARI,2021,2B,1153900
11,ARI,2021,C,1700000
12,ARI,2021,CF,6970500
13,ARI,2021,LF,7500000
14,ARI,2021,OF,1711500
15,ARI,2021,RF,8586600
16,ARI,2021,RP,7339400
17,ARI,2021,SP,28918140
18,ARI,2021,SS,9277900
19,ARI,2022,1B,2600000
20,ARI,2022,2B,8400000
21,ARI,2022,3B,2843400
22,ARI,2022,C,3325000
23,ARI,2022,CF,1421700
24,ARI,2022,DH,700000
25,ARI,2022,OF,3502400
26,ARI,2022,RF,722900
27,ARI,2022,RP,19334400
28,ARI,2022,SP,34009300
29,ARI,2022,SS,8826300
30,ARI,2023,1B,6500000
31,ARI,2023,2B,11600000
32,ARI,2023,3B,10370000
33,ARI,2023,C,1454500
34,ARI,2023,CF,735200
35,ARI,2023,LF,13828571
36,ARI,2023,OF,1470000
37,ARI,2023,RF,1625000
38,ARI,2023,RP,20129900
39,ARI,2023,RP/CL,4100000
40,ARI,2023,SP,16986300
41,ARI,2023,SS,1458600
42,ATL,2020,1B,22559375
43,ATL,2020,2B,1000000
44,ATL,2020,3B,1132000
45,ATL,2020,C,12000000
46,ATL,2020,CF,7700000
47,ATL,2020,LF,18000000
48,ATL,2020,RF,8250000
49,ATL,2020,RP,40830500
50,ATL,2020,RP/CL,13000000
51,ATL,2020,SP,21304000
52,ATL,2020,SS,4150000
53,ATL,2021,1B,22409375
54,ATL,2021,2B,3000000
55,ATL,2021,3B,590500
56,ATL,2021,C,12070500
57,ATL,2021,CF,1000000
58,ATL,2021,DH,8250000
59,ATL,2021,LF,12500000
60,ATL,2021,P,1141000
61,ATL,2021,RF,7000000
62,ATL,2021,RP,16122000
63,ATL,2021,RP/CL,13000000
64,ATL,2021,SP,33446000
65,ATL,2021,SS,9500000
66,ATL,2022,1B,15000000
67,ATL,2022,2B,6600000
68,ATL,2022,3B,3950000
69,ATL,2022,C,9410000
70,ATL,2022,CF,1700000
71,ATL,2022,DH,16000000
72,ATL,2022,LF,23275000
73,ATL,2022,RF,15000000
74,ATL,2022,RP,16800000
75,ATL,2022,RP/CL,26000000
76,ATL,2022,SP,38200000
77,ATL,2022,SS,12200000
78,ATL,2023,1B,21000000
79,ATL,2023,2B,9300000
80,ATL,2023,3B,18700000
81,ATL,2023,C,12000000
82,ATL,2023,CF,5750000
83,ATL,2023,LF,28000000
